94805,3.0051,2.989e+05,66079,40
94806,46.547,2.37e+05,52173,25
94947,5.0528,5.674e+05,81879,106
94949,6.6678,5.438e+05,74009,72
94954,6.391,4.203e+05,81980,102
94965,6.011,9.296e+05,89715,50
95002,3.0243,4.212e+05,73333,7
95008,5.3796,6.746e+05,88987,203
95012,2.9608,2.444e+05,52015,72
95020,6.2801,4.854e+05,82748,238
95023,5.706,3.531e+05,69678,149
95037,6.3049,6.146e+05,95435,363
95062,4.2038,5.669e+05,62253,169
95073,9.3177,6.034e+05,80133,96
95076,6.7143,3.745e+05,56671,177
95110,5.8388,4.07e+05,68693,24
95111,4.3,3.414e+05,57047,53
95112,4.5561,4.323e+05,49454,72
95116,3.8819,3.352e+05,47413,23
95118,7.361,6.253e+05,90984,153
95122,4.3209,3.476e+05,57470,51
95123,5.4434,5.316e+05,90881,290
95127,5.7758,4.344e+05,70692,132
95128,4.6908,5.863e+05,70096,91
95136,5.6911,5.249e+05,87500,140
95206,5.0981,1.348e+05,42404,19
95301,8.0623,1.633e+05,48488,137
95334,5.8704,1.775e+05,50740,12
95340,8.4686,1.671e+05,49688,118
95365,2.47,1.024e+05,32319,3
95388,10.216,1.143e+05,42677,39
95401,5.3185,3.276e+05,52813,185
95407,14.445,2.874e+05,53652,55
95422,4.1869,90400,25934,25
95423,4.5889,1.583e+05,27379,14
95439,6.1456,5.109e+05,73542,9
95449,6.0937,3.616e+05,37321,16
95451,5.2715,1.949e+05,45392,46
95452,7.9839,6.192e+05,78114,38
95453,6.5887,1.959e+05,45299,74
95454,8.9164,3.431e+05,36196,11
95457,4.4714,1.719e+05,42829,7
95461,5.2024,2.856e+05,52143,22
95468,3.4985,3.868e+05,44412,15
95472,6.1761,6.159e+05,68804,436
95482,4.6309,2.86e+05,45953,56
95485,5.2306,1.685e+05,29708,27
95501,3.9041,2.473e+05,38175,14
95503,3.2296,2.683e+05,48681,19
95519,3.9612,3.012e+05,50051,33
95524,3.7983,4.287e+05,69760,14
95540,3.5287,2.607e+05,42655,11
95547,5.1525,3.167e+05,56081,4
95551,4.495,2.474e+05,45729,2
95556,5,2.06e+05,48839,1
95616,4.5993,5.383e+05,45332,303
